"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"0500000US22001","Acadia Parish, Louisiana","22788","398","37684","2296","81.4","1.1","42665","2740","17.0","1.1","21150","3638","0.1","0.1","100000","103348","0.3","0.4","-","**","0.0","0.1","-","**","0.6","0.5","45750","18005","0.7","0.3","55188","33930","1.0","0.3","25707","18114","80.7","1.2","42794","2740","4.2","0.9","37693","5032","31.9","1.2","52972","4787","41.9","1.3","38169","4528","21.9","1.1","21077","1812","15648","514","44554","2299","44.6","2.2","50621","6388","55.4","2.2","41496","3657","69.4","2.2","61135","4137","24.2","1.9","20523","2458","6.4","1.3","43179","9353","7140","497","19568","2742","51.5","3.5","15357","1643","45.6","3.4","14082","1280","6.0","1.9","49375","18132","48.5","3.5","27342","8561","38.6","4.0","23197","6485","9.8","2.9","53322","14207","31.5","(X)","(X)","(X)","33.9","(X)","(X)","(X)","25.3","(X)","(X)","(X)",
"0500000US22003","Allen Parish, Louisiana","8108","288","39440","2918","81.5","2.5","41630","3281","13.7","2.3","25673","6022","2.7","0.6","43906","11412","0.5","0.2","42083","13069","0.0","0.4","-","**","0.2","0.2","-","**","1.4","0.7","45357","35624","0.9","0.6","45625","38802","81.0","2.5","41537","3272","4.5","1.3","18664","7840","29.7","2.0","44958","6050","41.0","1.9","46577","4822","24.8","1.7","27355","4774","5498","321","49251","3211","45.7","3.7","48865","5114","54.3","3.7","49871","4756","69.6","3.8","58922","5946","21.5","3.3","33054","2974","8.9","2.5","36433","13082","2610","268","18671","2160","54.9","5.1","17266","1755","52.0","5.3","17189","1797","2.8","1.6","40000","51721","45.1","5.1","20925","3756","41.8","4.9","19589","3550","3.3","2.9","122663","83552","39.1","(X)","(X)","(X)","39.7","(X)","(X)","(X)","35.6","(X)","(X)","(X)",
"0500000US22005","Ascension Parish, Louisiana","39447","472","70207","2737","76.0","0.8","74878","2795","21.6","0.7","47805","5716","0.1","0.1","65500","85174","0.7","0.2","69079","38673","0.0","0.1","-","**","0.3","0.2","75556","55997","1.2","0.4","55365","15414","3.4","0.6","59286","25399","73.3","0.9","75419","2745","3.4","0.7","23200","7275","41.2","1.2","82298","5520","39.0","1.1","74865","5470","16.4","0.7","37539","3489","30190","748","78261","3388","51.4","1.6","81796","6679","48.6","1.6","75670","3418","74.8","1.9","94395","3191","18.2","1.6","30728","5639","7.0","1.3","47986","12190","9257","715","36604","3072","50.2","3.4","27586","3610","43.2","3.2","24354","4581","7.0","1.9","71923","30571","49.8","3.4","50368","5509","41.5","3.4","49223","5610","8.3","2.2","57357","38667","28.6","(X)","(X)","(X)","28.6","(X)","(X)","(X)","26.4","(X)","(X)","(X)",
"0500000US22007","Assumption Parish, Louisiana","8726","358","47961","2916","72.2","1.7","55934","5952","25.9","1.5","23393","4745","0.2","0.2","6250","94339","0.6","0.5","-","**","0.0","0.4","-","**","0.5","0.6","-","**","0.6","0.4","63571","36570","2.4","0.5","33824","14732","70.3","1.6","57554","6383","2.2","1.2","29276","26667","30.2","1.9","52689","5367","41.2","1.7","61475","7859","26.5","1.6","29359","4609","6251","385","54890","5561","37.9","3.7","58750","18623","62.1","3.7","53854","6126","70.3","3.6","69202","4619","19.6","2.6","26250","4020","10.0","2.6","62639","35892","2475","325","23982","6678","46.8","6.0","17030","2982","43.6","5.9","16064","2351","3.2","2.1","52424","37309","53.2","6.0","38583","16065","42.5","6.4","36181","13810","10.7","4.5","51458","29248","33.1","(X)","(X)","(X)","35.8","(X)","(X)","(X)","25.5","(X)","(X)","(X)",
"0500000US22009","Avoyelles Parish, Louisiana","15107","382","33781","2835","74.5","1.6","38227","2232","23.4","1.5","24222","2681","0.9","0.4","28214","13831","0.3","0.2","39526","254467","0.0","0.1","-","**","0.1","0.2","-","**","0.6","0.3","19511","21474","0.9","0.4","27083","17914","73.9","1.6","38327","2268","4.5","1.2","21594","2031","28.5","1.6","43917","5454","41.1","1.7","38649","2517","25.8","1.5","23029","1775","10422","515","41540","3841","41.5","2.7","41517","6468","58.5","2.7","41568","5084","68.3","3.1","56090","5086","24.2","3.1","21275","4798","7.5","1.7","29833","7482","4685","443","18319","1361","56.8","4.8","15622","1700","51.4","4.9","14426","1706","5.4","2.6","43006","11146","43.2","4.8","22384","4606","37.1","4.6","20425","2845","6.1","2.0","36515","11549","28.7","(X)","(X)","(X)","29.6","(X)","(X)","(X)","24.7","(X)","(X)","(X)",
"0500000US22011","Beauregard Parish, Louisiana","13095","317","46420","2928","84.2","1.0","49494","5103","12.2","0.7","28289","3352","0.8","0.3","47813","39609","0.6","0.3","69688","48801","0.0","0.2","-","**","0.4","0.3","63625","25027","1.8","0.5","37692","20575","2.3","0.4","43182","10980","82.6","0.9","50039","5080","3.6","1.2","24932","12968","34.2","1.7","57983","9968","39.0","1.6","59688","4384","23.2","1.1","33201","5145","9711","338","60501","3820","44.0","2.3","63750","4498","56.0","2.3","57098","4768","76.1","3.3","71198","3828","17.6","2.6","24232","2925","6.4","1.9","38125","10967","3384","267","22481","3077","48.6","4.2","16771","1816","45.2","4.4","16403","1618","3.4","1.4","37292","10603","51.4","4.2","32841","8141","41.4","4.3","27396","6844","10.0","3.5","41660","4801","37.5","(X)","(X)","(X)","35.5","(X)","(X)","(X)","41.2","(X)","(X)","(X)",
"0500000US22013","Bienville Parish, Louisiana","5888","200","32826","2128","56.8","1.9","44646","5037","42.0","1.8","19522","2133","0.5","0.6","68158","35629","0.0","0.5","-","**","0.0","0.5","-","**","0.2","0.2","-","**","0.5","0.4","43750","12141","1.7","1.5","-","**","55.1","1.8","42439","4256","2.4","0.8","17917","9663","28.5","1.6","40709","2603","39.4","1.7","38657","5978","29.8","1.3","22306","2570","3763","216","43078","2986","38.3","3.4","40714","9438","61.7","3.4","43882","3436","64.8","3.5","58080","5651","27.1","3.0","17089","1476","8.1","2.3","31875","16555","2125","219","17029","2212","54.2","4.4","15274","1352","51.2","4.0","14648","1438","2.9","1.8","55938","56358","45.8","4.4","24815","6662","39.9","4.5","23426","7787","5.9","3.4","27609","9987","29.1","(X)","(X)","(X)","33.8","(X)","(X)","(X)","20.3","(X)","(X)","(X)",
"0500000US22015","Bossier Parish, Louisiana","46285","643","52754","1932","76.3","0.8","60277","2886","19.5","0.8","30850","3089","0.6","0.3","70658","5609","1.2","0.3","57000","13245","0.1","0.1","56518","26713","1.2","0.4","38340","6657","1.1","0.3","39145","15182","4.1","0.4","53125","7335","73.6","0.8","60393","2887","5.6","0.8","31395","4830","37.8","1.1","60545","4056","36.1","0.9","62016","3812","20.5","0.9","36766","2452","30571","876","66991","2239","45.2","1.5","65887","2802","54.8","1.5","68346","2582","70.3","2.0","80316","2976","22.2","1.3","27013","3463","7.5","1.3","63553","23526","15714","877","30885","2330","49.6","2.3","23899","2655","46.3","2.3","22839","2419","3.4","1.1","41500","10867","50.4","2.3","40270","2691","43.5","2.4","38337","3457","6.9","1.5","59162","11302","27.5","(X)","(X)","(X)","29.5","(X)","(X)","(X)","20.5","(X)","(X)","(X)",
"0500000US22017","Caddo Parish, Louisiana","98427","758","41251","1209","52.4","0.6","55866","1891","44.5","0.6","27835","1480","0.5","0.1","24063","8582","0.9","0.1","50554","4940","0.0","0.1","-","**","0.8","0.2","38506","10993","0.9","0.2","36733","9517","1.9","0.2","41143","5017","51.6","0.6","56053","1975","4.6","0.5","23312","2318","32.2","0.8","43619","1983","39.9","0.6","48068","2487","23.3","0.5","33960","1171","61691","1018","53383","2330","41.2","1.1","45279","3359","58.8","1.1","57216","1967","59.2","1.3","75640","3418","32.3","1.1","24075","1076","8.5","0.9","46033","4301","36736","888","25631","823","53.9","1.7","23679","1146","48.9","1.7","22414","1112","5.1","0.7","49088","14206","46.1","1.7","27742","2372","39.4","1.4","26419","1444","6.7","0.9","46208","7206","36.3","(X)","(X)","(X)","37.6","(X)","(X)","(X)","32.3","(X)","(X)","(X)",
