"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0500000US22001","Acadia Parish, Louisiana","22655","441","39837","2792","81.7","1.1","44825","2825","17.6","1.0","21948","3947","0.0","0.1","-","**","0.0","0.2","-","**","0.0","0.2","-","**","0.3","0.2","60870","22699","0.3","0.2","-","**","1.1","0.4","36094","28755","80.9","1.1","44887","2859","3.7","1.0","34044","17855","32.6","1.4","55514","4521","41.2","1.4","40576","4334","22.5","0.9","23487","3046","15583","515","48031","3915","47.3","2.4","53052","5190","52.7","2.4","45337","3235","70.1","2.7","63263","2316","22.4","2.3","20652","2382","7.5","1.8","45536","7630","7072","548","20401","3038","52.6","4.7","16209","2077","47.4","4.7","15043","2209","5.2","1.7","36250","32864","47.4","4.7","26864","6114","37.7","4.1","23949","4640","9.6","2.9","51346","24271","33.5","(X)","(X)","(X)","34.9","(X)","(X)","(X)","28.3","(X)","(X)","(X)",
"0500000US22003","Allen Parish, Louisiana","7881","304","41801","4697","82.4","2.0","44347","4165","12.7","1.7","27298","8287","2.8","0.7","29844","17456","0.7","0.5","25769","23816","0.0","0.4","-","**","0.2","0.2","-","**","1.2","0.8","-","**","1.1","0.7","33077","18208","82.0","2.0","44490","4317","4.1","1.5","15909","6469","30.1","2.2","51830","4337","41.1","2.1","46413","3090","24.6","1.8","23995","3030","5097","306","52989","3378","44.5","3.1","52799","5216","55.5","3.1","53147","5183","69.7","3.5","66287","7102","20.1","3.5","27104","5082","10.3","2.4","41875","10025","2784","293","18370","2782","57.0","5.9","16902","1330","54.0","5.9","16686","1264","3.0","1.8","50114","36954","43.0","5.9","21434","4231","39.0","5.8","20404","4149","4.0","2.3","82917","54363","31.5","(X)","(X)","(X)","32.9","(X)","(X)","(X)","27.2","(X)","(X)","(X)",
"0500000US22005","Ascension Parish, Louisiana","40663","519","71752","2412","76.9","1.1","77587","2557","20.0","1.1","49599","8192","0.0","0.1","-","**","1.0","0.3","70556","30320","0.0","0.1","-","**","0.5","0.4","-","**","1.6","0.5","76250","23737","3.6","0.6","52829","13967","73.8","1.0","78011","2624","2.4","0.5","55227","20078","39.5","0.9","86496","4058","41.2","1.1","75940","5334","16.8","0.9","38255","2185","30669","838","80613","3428","50.6","1.7","87692","5348","49.4","1.7","77071","3680","75.2","1.8","98928","5729","17.8","1.7","32473","6506","7.1","1.1","62015","7692","9994","736","37646","3271","51.6","3.5","27869","3757","45.2","3.9","22699","6417","6.4","2.0","82820","8985","48.4","3.5","59853","13734","40.4","3.6","55637","13757","8.1","2.2","75613","21990","32.7","(X)","(X)","(X)","32.0","(X)","(X)","(X)","32.6","(X)","(X)","(X)",
"0500000US22007","Assumption Parish, Louisiana","8676","251","47822","3673","72.8","1.9","60023","6462","25.2","1.8","25625","4378","0.4","0.4","-","**","0.4","0.4","-","**","0.0","0.4","-","**","0.8","0.6","57857","37801","0.4","0.3","-","**","2.6","0.6","35203","12901","71.0","2.0","61505","6399","2.2","1.1","29625","26060","31.3","2.0","59222","11333","40.1","2.0","62535","9085","26.4","1.5","27005","2799","6131","338","59400","5641","36.6","3.8","56786","19497","63.4","3.8","60378","7860","67.9","3.9","77035","4620","21.1","3.1","26124","3351","11.0","2.9","62904","37176","2545","323","20392","3708","48.9","6.4","17888","2121","41.9","6.7","15272","2963","7.0","4.1","35545","25591","51.1","6.4","36492","14937","44.9","6.8","31985","14724","6.2","3.5","68068","53105","33.8","(X)","(X)","(X)","37.6","(X)","(X)","(X)","24.0","(X)","(X)","(X)",
"0500000US22009","Avoyelles Parish, Louisiana","15016","416","34985","3292","73.4","1.6","40148","2668","24.4","1.6","24026","1710","1.1","0.5","-","**","0.3","0.3","-","**","0.0","0.1","-","**","0.1","0.1","-","**","0.5","0.4","-","**","1.7","0.4","42891","25614","71.9","1.7","40088","2707","4.2","1.2","23989","8100","28.5","1.5","44829","10386","39.7","1.5","44167","4702","27.6","1.3","22094","2883","9958","519","46410","5253","39.5","2.9","46313","14426","60.5","2.9","46435","4774","68.4","2.9","63480","4756","23.9","2.7","22132","5305","7.7","2.1","33059","13447","5058","498","18705","1547","55.7","4.0","16140","2365","48.8","4.4","13757","2210","6.9","2.9","44096","16215","44.3","4.0","22050","3464","38.9","4.2","21609","4395","5.4","2.0","23664","8913","33.0","(X)","(X)","(X)","33.9","(X)","(X)","(X)","30.2","(X)","(X)","(X)",
"0500000US22011","Beauregard Parish, Louisiana","13106","348","46599","3000","84.4","1.1","47513","3811","11.6","0.9","31816","8284","0.9","0.4","63403","33057","0.5","0.3","80658","40203","0.0","0.3","-","**","0.5","0.3","66793","27669","2.0","0.6","34688","15965","2.4","0.5","40268","31512","82.9","1.1","47767","3867","2.8","0.9","23267","8758","34.0","1.7","51153","5182","38.6","1.7","60227","5399","24.6","1.2","35762","2950","9449","377","59006","4856","42.0","2.4","62090","10850","58.0","2.4","57108","4275","77.6","2.7","69175","5537","16.5","2.2","23470","3616","5.9","1.7","40833","8904","3657","305","22467","2596","43.9","4.7","19189","3044","41.2","4.4","18425","3074","2.7","1.4","41250","30465","56.1","4.7","30329","6014","44.3","5.2","25337","4566","11.8","3.6","42280","5518","36.9","(X)","(X)","(X)","35.5","(X)","(X)","(X)","38.8","(X)","(X)","(X)",
"0500000US22013","Bienville Parish, Louisiana","5738","182","35722","4413","57.9","1.8","47486","5454","40.9","1.8","23344","4110","0.2","0.3","-","**","0.0","0.1","-","**","0.0","0.6","-","**","0.5","0.5","-","**","0.5","0.4","-","**","2.2","1.5","-","**","55.7","2.0","46099","4461","2.4","1.1","-","**","27.5","2.1","40619","5543","39.9","2.1","45969","6820","30.3","1.9","25802","2461","3849","187","44759","4460","37.5","3.9","51100","16732","62.5","3.9","43934","3255","63.8","3.6","63841","7360","28.1","3.2","16883","1141","8.1","2.2","24375","12788","1889","181","20573","3532","55.5","4.9","17146","2793","52.9","4.7","16292","2901","2.6","1.2","-","**","44.5","4.9","29559","5198","40.7","4.7","28382","9254","3.8","2.3","44821","12041","32.3","(X)","(X)","(X)","36.6","(X)","(X)","(X)","23.1","(X)","(X)","(X)",
"0500000US22015","Bossier Parish, Louisiana","47505","749","51894","1847","76.0","0.9","58531","3295","20.0","0.8","31258","3274","0.7","0.3","61815","6105","1.3","0.3","57059","8879","0.1","0.1","59167","32040","0.7","0.3","34022","11023","1.2","0.4","55156","25657","4.4","0.6","51104","10966","72.5","1.0","59451","3357","5.1","0.8","33390","5901","37.9","0.9","58982","4058","36.9","1.0","59425","3811","20.1","0.7","36986","2862","31437","771","65642","2742","45.1","1.5","66939","5739","54.9","1.5","65038","3263","69.6","2.2","80396","2647","22.6","1.8","26963","2688","7.8","1.4","46317","10977","16068","815","31508","1356","48.8","2.7","25857","1931","43.9","2.7","24597","2558","4.8","1.0","39750","9963","51.2","2.7","39663","3606","41.5","2.9","35507","3706","9.7","2.1","57202","4867","36.4","(X)","(X)","(X)","37.7","(X)","(X)","(X)","30.9","(X)","(X)","(X)",
"0500000US22017","Caddo Parish, Louisiana","97497","869","40815","989","51.9","0.6","56484","1537","45.3","0.6","28472","1319","0.4","0.1","-","**","1.1","0.2","47813","11324","0.0","0.1","95375","57406","0.6","0.2","29952","13516","0.8","0.2","37076","10547","1.8","0.2","39297","7006","51.0","0.7","56606","1566","4.1","0.4","25717","1846","32.4","0.7","41080","1455","38.9","0.7","47574","2183","24.6","0.5","35043","1698","60908","924","53012","2184","41.0","1.1","44521","4612","59.0","1.1","56926","2079","59.7","1.4","76554","2275","32.2","1.2","23780","1418","8.1","0.7","45320","4425","36589","1027","26182","845","54.8","1.6","24389","1070","50.1","1.7","23381","1080","4.7","0.8","39797","8547","45.2","1.6","28329","2154","38.7","1.8","26849","1445","6.5","0.8","43278","5605","43.7","(X)","(X)","(X)","44.7","(X)","(X)","(X)","40.7","(X)","(X)","(X)",
